,culture,line,rate,yield
244,C61,UA,0.024193046,0.507945921
245,C62,UA,0.025080867,0.502577594
246,C63,UA,0.024292751,0.524710357
247,C64,UA,0.024537787,0.494793137
248,C307,UA,0.00507,0.02239
249,C308,UA,0.00496,0.02075
250,C309,UA,0.00515,0.02342
251,C310,UA,0.00512,0.0241
252,C311,UA,0.00577,0.02302
253,C312,UA,0.00682,0.02526
254,C313,UA,0.006,0.02478
255,C61,UA,0.024193046,0.507945921
256,C62,UA,0.025080867,0.502577594
257,C63,UA,0.024292751,0.524710357
258,C64,UA,0.024537787,0.494793137
259,C148,UA,0.082685977,0.397021634
260,C149,UA,0.095873905,0.463171752
261,C65,UA,0.037293194,0.543373181
262,C66,UA,0.036811053,0.531934877
263,C67,UA,0.03610148,0.518852201
264,C314,UA,0.00394,0.01933
265,C315,UA,0.00421,0.02035
266,C65,UA,0.037293194,0.543373181
267,C66,UA,0.036811053,0.531934877
268,C67,UA,0.03610148,0.518852201
269,C154,UA,0.050343358,0.209254953
270,C155,UA,0.046328363,0.212998376
271,C68,UA,0.026874139,0.511860164
